,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,56,26,.683,—,111.5,105.7,5.22,1991,BOS
1,44,38,.537,12.0,105.4,105.6,-0.39,1991,PHI
2,39,43,.476,17.0,103.1,103.3,-0.43,1991,NYK
3,30,52,.366,26.0,101.4,106.4,-4.84,1991,WSB
4,26,56,.317,30.0,102.9,107.5,-4.53,1991,NJN
5,24,58,.293,32.0,101.8,107.8,-5.91,1991,MIA
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,
7,61,21,.744,—,110.0,101.0,8.57,1991,CHI
8,50,32,.610,11.0,100.1,96.8,3.08,1991,DET
9,48,34,.585,13.0,106.4,104.0,2.33,1991,MIL
10,43,39,.524,18.0,109.8,109.0,0.72,1991,ATL
11,41,41,.500,20.0,111.7,112.1,-0.37,1991,IND
12,33,49,.402,28.0,101.7,104.2,-2.33,1991,CLE
13,26,56,.317,35.0,102.8,108.0,-4.95,1991,CHA
14,26,56,.317,35.0,102.8,108.0,-4.95,1991,CHH
15,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1991,
16,55,27,.671,—,107.1,102.6,4.30,1991,SAS
17,54,28,.659,1.0,104.0,100.7,3.18,1991,UTA
18,52,30,.634,3.0,106.7,103.2,3.27,1991,HOU
19,31,51,.378,24.0,105.9,109.9,-3.79,1991,ORL
20,29,53,.354,26.0,99.6,103.5,-3.75,1991,MIN
21,28,54,.341,27.0,99.9,104.5,-4.27,1991,DAL
22,20,62,.244,35.0,119.9,130.8,-10.31,1991,DEN
23,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,
24,63,19,.768,—,114.7,106.0,8.47,1991,POR
25,58,24,.707,5.0,106.3,99.6,6.73,1991,LAL
26,55,27,.671,8.0,114.0,107.5,6.49,1991,PHO
27,44,38,.537,19.0,116.6,115.0,1.72,1991,GSW
28,41,41,.500,22.0,106.6,105.4,1.31,1991,SEA
29,31,51,.378,32.0,103.5,107.0,-3.16,1991,LAC
30,25,57,.305,38.0,96.7,103.5,-6.27,1991,SAC
31,51,31,.622,—,106.6,103.0,3.41,1992,BOS
32,51,31,.622,—,101.6,97.7,3.67,1992,NYK
33,40,42,.488,11.0,105.4,107.1,-1.54,1992,NJN
34,38,44,.463,13.0,105.0,109.2,-3.94,1992,MIA
35,35,47,.427,16.0,101.9,103.2,-1.34,1992,PHI
36,25,57,.305,26.0,102.4,106.8,-4.35,1992,WSB
37,21,61,.256,30.0,101.6,108.5,-6.52,1992,ORL
38,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,
39,67,15,.817,—,109.9,99.5,10.07,1992,CHI
40,57,25,.695,10.0,108.9,103.4,5.34,1992,CLE
41,48,34,.585,19.0,98.9,96.9,2.06,1992,DET
42,40,42,.488,27.0,112.2,110.3,1.85,1992,IND
43,38,44,.463,29.0,106.2,107.7,-1.15,1992,ATL
44,31,51,.378,36.0,105.0,106.7,-1.46,1992,MIL
45,31,51,.378,36.0,109.5,113.4,-3.57,1992,CHA
46,31,51,.378,36.0,109.5,113.4,-3.57,1992,CHH
47,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1992,
48,55,27,.671,—,108.3,101.9,5.70,1992,UTA
49,47,35,.573,8.0,104.0,100.6,2.81,1992,SAS
50,42,40,.512,13.0,102.0,103.7,-1.94,1992,HOU
51,24,58,.293,31.0,99.7,107.6,-7.59,1992,DEN
52,22,60,.268,33.0,97.6,105.3,-7.47,1992,DAL
53,15,67,.183,40.0,100.5,107.5,-6.85,1992,MIN
54,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,
55,57,25,.695,—,111.4,104.1,6.94,1992,POR
56,55,27,.671,2.0,118.7,114.8,3.77,1992,GSW
57,53,29,.646,4.0,112.1,106.2,5.68,1992,PHO
58,47,35,.573,10.0,106.5,104.7,1.86,1992,SEA
59,45,37,.549,12.0,102.9,101.9,1.10,1992,LAC
60,43,39,.524,14.0,100.4,101.5,-0.95,1992,LAL
61,29,53,.354,28.0,104.3,110.3,-5.63,1992,SAC
62,60,22,.732,—,101.6,95.4,5.87,1993,NYK
63,48,34,.585,12.0,103.7,102.8,0.93,1993,BOS
64,43,39,.524,17.0,102.8,101.6,1.20,1993,NJN
65,41,41,.500,19.0,105.5,104.2,1.35,1993,ORL
66,36,46,.439,24.0,103.6,104.7,-0.93,1993,MIA
67,26,56,.317,34.0,104.3,110.1,-5.25,1993,PHI
68,22,60,.268,38.0,101.9,108.9,-6.49,1993,WSB
69,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,
70,57,25,.695,—,105.2,98.9,6.19,1993,CHI
71,54,28,.659,3.0,107.7,101.3,6.30,1993,CLE
72,44,38,.537,13.0,110.1,110.4,-0.02,1993,CHA
73,44,38,.537,13.0,110.1,110.4,-0.02,1993,CHH
74,43,39,.524,14.0,107.5,108.4,-0.67,1993,ATL
75,41,41,.500,16.0,107.8,106.1,1.77,1993,IND
76,40,42,.488,17.0,100.6,102.0,-1.10,1993,DET
77,28,54,.341,29.0,102.3,106.1,-3.26,1993,MIL
78,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,
79,55,27,.671,—,104.0,99.8,3.57,1993,HOU
80,49,33,.598,6.0,105.5,102.8,2.21,1993,SAS
81,47,35,.573,8.0,106.2,104.0,1.74,1993,UTA
82,36,46,.439,19.0,105.2,106.9,-2.14,1993,DEN
83,19,63,.232,36.0,98.1,105.9,-7.62,1993,MIN
84,11,71,.134,44.0,99.3,114.5,-14.68,1993,DAL
85,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,
86,62,20,.756,—,113.4,106.7,6.27,1993,PHO
87,55,27,.671,7.0,108.3,101.3,6.66,1993,SEA
88,51,31,.622,11.0,108.5,105.4,2.92,1993,POR
89,41,41,.500,21.0,107.1,106.8,0.33,1993,LAC
90,39,43,.476,23.0,104.2,105.5,-1.20,1993,LAL
91,34,48,.415,28.0,109.9,110.9,-0.94,1993,GSW
92,25,57,.305,37.0,107.9,111.1,-3.00,1993,SAC
93,57,25,.695,—,98.5,91.5,6.48,1994,NYK
94,50,32,.610,7.0,105.7,101.8,3.68,1994,ORL
95,45,37,.549,12.0,103.2,101.0,2.11,1994,NJN
96,42,40,.512,15.0,103.4,100.7,2.40,1994,MIA
97,32,50,.390,25.0,100.8,105.1,-4.28,1994,BOS
98,25,57,.305,32.0,98.0,105.6,-7.37,1994,PHI
99,24,58,.293,33.0,100.4,107.7,-7.13,1994,WSB
100,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,
101,57,25,.695,—,101.4,96.2,4.94,1994,ATL
102,55,27,.671,2.0,98.0,94.9,2.87,1994,CHI
103,47,35,.573,10.0,101.0,97.5,3.26,1994,IND
104,47,35,.573,10.0,101.2,97.1,3.64,1994,CLE
105,41,41,.500,16.0,106.5,106.7,-0.23,1994,CHA
